"";"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
"5";10;"RM_RIDE";"$2.";"/* Reg. Metr. e Reg. Adm. Int. Des. */";2;0;11;"c";TRUE
"14";50;"V1028";"15.";"/* Peso COM pÛs estratificaÁ„o */";15;0;64;"d";FALSE
"24";92;"V2009";"3.";"/* Idade na data de referÍncia */";3;0;94;"i";FALSE
"27";97;"V3002";"$1.";"/* Frequenta escola */";1;0;97;"c";TRUE
"28";98;"V3002A";"$1.";"/* A escola que ... frequenta È de */";1;0;98;"c";TRUE
"30";101;"V3003A";"$2.";"/* Qual È o curso que frequenta */";2;0;102;"c";TRUE
"31";103;"V3004";"$1.";"/* DuraÁ„o deste curso que requenta */";1;0;103;"c";TRUE
"32";104;"V3004A";"$1.";"/* O curso È de graduaÁ„o tecnolÛgica? */";1;0;104;"c";TRUE
"33";105;"V3005";"$1.";"/* Curso que frequenta È seriado */";1;0;105;"c";TRUE
"34";106;"V3005A";"$1.";"/* Curso que freq È organizado em: */";1;0;106;"c";TRUE
"35";107;"V3006";"$2.";"/* Qual È o ano/sÈrie que frequenta */";2;0;108;"c";TRUE
"36";109;"V3006A";"$1.";"/* Qual È a etapa que frequenta */";1;0;109;"c";TRUE
"37";110;"V3006B";"$1.";"/* Este curso que ... frequenta È: */";1;0;110;"c";TRUE
"38";111;"V3006C";"$1.";"/* Qual turno que frequenta */";1;0;111;"c";TRUE
"39";112;"V3007";"$1.";"/* Concluiu outro curso de graduaÁ„o */";1;0;112;"c";TRUE
"40";113;"V3008";"$1.";"/* Anteriormente frequentou escola */";1;0;113;"c";TRUE
"41";114;"V3009";"$2.";"/* Curso mais elevado que frequentou */";2;0;115;"c";TRUE
"42";116;"V3009A";"$2.";"/* Curso mais elevado que frequentou */";2;0;117;"c";TRUE
"43";118;"V3010";"$1.";"/* DuraÁ„o do curso que frequentou */";1;0;118;"c";TRUE
"44";119;"V3011";"$1.";"/* Curso quefrequentou era seriado */";1;0;119;"c";TRUE
"45";120;"V3010A";"$1.";"/* O curso era de graduaÁ„o tecnolÛgica? */";1;0;120;"c";TRUE
"46";121;"V3011A";"$1.";"/* Curso que freq È organizado em: */";1;0;121;"c";TRUE
"47";122;"V3012";"$1.";"/* Aprovado na prim. sÈrie do curso */";1;0;122;"c";TRUE
"48";123;"V3013";"$2.";"/* ⁄ltimo ano/sÈrie que concluiu */";2;0;124;"c";TRUE
"49";125;"V3013A";"$1.";"/* Qual È a etapa que frequentou */";1;0;125;"c";TRUE
"50";126;"V3013B";"$1.";"/* Cursou os anos iniciais deste curso */";1;0;126;"c";TRUE
"51";127;"V3014";"$1.";"/* Concluiu o curso que frequentou */";1;0;127;"c";TRUE
